"constituency","year_1","year_2","year_3","year_4","year_5","year_6"
267,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
268,"Multipolar","Multipolar","Bipolar","Multipolar","Divided-Unipolar","Divided-Unipolar"
269,"Divided-Unipolar","Multipolar","Bipolar","Divided-Unipolar","Divided-Unipolar","Multipolar"
270,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
271,"Divided-Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Divided-Unipolar"
272,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
273,"Divided-Unipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar"
274,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Bipolar"
275,"Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Bipolar"
276,"Divided-Unipolar","Unipolar","Bipolar","Multipolar","Multipolar","Bipolar"
277,"Divided-Unipolar","Bipolar","Bipolar","Multipolar","Multipolar","Bipolar"
278,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Bipolar"
279,"Multipolar","Bipolar","Multipolar","Bipolar","Multipolar","Multipolar"
280,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
281,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
282,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
283,"Bipolar","Multipolar","Bipolar","Multipolar","Divided-Unipolar","Bipolar"
284,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
285,"Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
286,"Bipolar","Multipolar","Bipolar","Multipolar","Multipolar","Bipolar"
287,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
288,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
289,"Multipolar","Multipolar","Bipolar","Multipolar","Multipolar","Unipolar"
290,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
291,"Multipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar"
292,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
293,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
294,"Multipolar","Multipolar","Bipolar","Divided-Unipolar","Multipolar","Bipolar"
295,"Divided-Unipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar"
296,"Divided-Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Bipolar"
297,"Bipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar","Bipolar"
298,"Multipolar","Bipolar","Bipolar","Bipolar","Divided-Unipolar","Multipolar"
299,"Bipolar","Multipolar","Bipolar","Divided-Unipolar","Divided-Unipolar","Unipolar"
300,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Multipolar","Bipolar"
301,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
302,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
303,"Divided-Unipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
304,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
305,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
306,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
307,"Multipolar","Bipolar","Bipolar","Multipolar","Multipolar","Multipolar"
308,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
309,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
310,"Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar"
311,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
312,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
313,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
314,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
315,"Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Divided-Unipolar"
316,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
317,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
318,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
319,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
320,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
321,"Unipolar","Divided-Unipolar","Bipolar","Multipolar","Unipolar","Multipolar"
322,"Unipolar","Divided-Unipolar","Multipolar","Bipolar","Unipolar","Unipolar"
323,"Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar","Divided-Unipolar","Bipolar"
324,"Divided-Unipolar","Multipolar","Bipolar","Divided-Unipolar","Divided-Unipolar","Unipolar"
325,"Multipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
326,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
327,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
328,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
329,"Multipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
330,"Bipolar","Multipolar","Bipolar","Bipolar","Multipolar","Multipolar"
331,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
332,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
333,"Divided-Unipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar"
334,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
335,"Multipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar"
336,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
337,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
338,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
339,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
340,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
341,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
342,"Unipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
343,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
344,"Multipolar","Bipolar","Bipolar","Multipolar","Multipolar","Bipolar"
345,"Multipolar","Multipolar","Bipolar","Multipolar","Divided-Unipolar","Multipolar"
346,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
347,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Bipolar"
348,"Multipolar","Divided-Unipolar","Bipolar","Divided-Unipolar","Multipolar","Multipolar"
349,"Multipolar","Multipolar","Bipolar","Multipolar","Multipolar","Bipolar"
350,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
