"constituency","year_1","year_2","year_3","year_4","year_5","year_6"
156,"Multipolar","Bipolar","Bipolar","Multipolar","Divided-Unipolar","Multipolar"
157,"Multipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
158,"Multipolar","Bipolar","Multipolar","Multipolar","Bipolar","Bipolar"
159,"Divided-Unipolar","Multipolar","Bipolar","Multipolar","Multipolar","Bipolar"
160,"Bipolar","Bipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
161,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
162,"Divided-Unipolar","Multipolar","Divided-Unipolar","Multipolar","Divided-Unipolar","Multipolar"
163,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
164,"Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar","Divided-Unipolar","Multipolar"
165,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Multipolar"
166,"Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar","Unipolar","Divided-Unipolar"
167,"Multipolar","Divided-Unipolar","Multipolar","Multipolar","Unipolar","Multipolar"
168,"Divided-Unipolar","Multipolar","Bipolar","Multipolar","Multipolar","Unipolar"
169,"Divided-Unipolar","Bipolar","Multipolar","Bipolar","Divided-Unipolar","Unipolar"
170,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Unipolar"
171,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Unipolar"
172,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
173,"Unipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Unipolar"
174,"Bipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Bipolar"
175,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Unipolar"
176,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Unipolar"
177,"Unipolar","Multipolar","Divided-Unipolar","Multipolar","Unipolar","Multipolar"
178,"Bipolar","Multipolar","Multipolar","Multipolar","Unipolar","Unipolar"
179,"Unipolar","Multipolar","Unipolar","Unipolar","Unipolar","Unipolar"
180,"Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Unipolar"
181,"Bipolar","Divided-Unipolar","Divided-Unipolar","Multipolar","Unipolar","Unipolar"
182,"Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Unipolar"
183,"Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Unipolar"
184,"Bipolar","Multipolar","Multipolar","Multipolar","Unipolar","Unipolar"
185,"Bipolar","Multipolar","Multipolar","Divided-Unipolar","Unipolar","Multipolar"
186,"Bipolar","Multipolar","Bipolar","Divided-Unipolar","Unipolar","Multipolar"
187,"Bipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Divided-Unipolar"
188,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
189,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Bipolar","Multipolar"
190,"Multipolar","Bipolar","Multipolar","Multipolar","Bipolar","Multipolar"
191,"Multipolar","Bipolar","Bipolar","Multipolar","Divided-Unipolar","Divided-Unipolar"
192,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
193,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
194,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Unipolar"
