Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
1,31.78%,31.55%,21.42%,10.68%
2,38.65%,36.67%,12.79%,6.17%
3,38.80%,33.05%,16.47%,9.00%
4,39.57%,31.17%,21.10%,5.27%
5,34.05%,32.50%,23.23%,5.06%
6,39.53%,25.92%,24.30%,8.39%
7,28.44%,26.68%,17.95%,14.53%
8,45.17%,34.17%,11.96%,3.30%
9,30.68%,30.52%,28.55%,5.82%
10,32.05%,29.83%,27.09%,5.41%
11,35.45%,29.95%,21.43%,8.29%
12,31.02%,23.65%,19.89%,15.38%
13,31.94%,26.62%,24.23%,13.73%
14,34.96%,26.09%,18.63%,12.51%
15,27.45%,24.00%,23.12%,11.18%
16,33.66%,26.12%,15.22%,12.49%
17,33.54%,27.35%,16.52%,15.29%
18,46.04%,31.49%,12.61%,3.93%
19,33.83%,20.30%,19.32%,14.77%
20,33.12%,32.77%,22.96%,6.18%
21,31.26%,19.46%,16.67%,12.70%
22,32.94%,24.42%,22.67%,12.02%
23,29.20%,21.22%,19.63%,16.74%
24,26.94%,23.84%,19.71%,18.20%
25,18.48%,17.72%,15.29%,12.42%
26,38.39%,21.14%,21.12%,11.97%
27,39.98%,27.39%,13.25%,12.96%
28,42.18%,32.52%,15.63%,6.01%
29,37.03%,29.20%,14.77%,14.23%
30,29.45%,28.63%,8.85%,8.45%
31,29.11%,27.03%,26.85%,7.01%
32,35.36%,22.73%,13.78%,11.43%
33,40.70%,25.38%,23.56%,5.36%
34,33.26%,25.04%,22.68%,14.95%
35,22.42%,21.30%,17.02%,10.77%
36,27.20%,21.96%,18.66%,18.63%
37,55.31%,18.77%,9.57%,5.75%
38,31.54%,20.34%,19.41%,14.98%
39,28.38%,24.48%,15.65%,14.40%
40,27.47%,25.66%,18.12%,15.89%
41,34.40%,22.06%,18.60%,14.01%
42,42.07%,27.47%,19.39%,2.89%
43,31.28%,29.37%,23.52%,10.45%
44,29.09%,23.38%,22.38%,20.83%
45,25.31%,21.71%,21.12%,16.62%
46,36.30%,30.78%,17.30%,8.30%
47,34.86%,33.08%,21.98%,4.77%
48,38.04%,34.54%,17.80%,7.35%
49,32.79%,28.31%,22.49%,11.52%
50,47.69%,32.86%,9.69%,3.12%
51,39.12%,35.24%,10.40%,5.74%
52,34.54%,29.90%,25.22%,3.57%
53,41.52%,29.82%,22.39%,3.09%
54,26.43%,24.75%,24.33%,22.85%
55,37.26%,29.97%,15.34%,10.87%
