Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
56,35.57%,28.88%,20.49%,9.46%
57,33.08%,25.21%,23.31%,8.49%
58,29.24%,24.62%,18.15%,14.35%
59,41.78%,29.80%,17.22%,4.82%
60,43.31%,33.79%,16.98%,2.00%
61,36.87%,23.67%,20.06%,12.15%
62,40.68%,21.98%,18.94%,11.63%
63,37.82%,32.50%,19.70%,3.55%
64,22.31%,22.25%,21.20%,17.58%
65,37.18%,33.81%,10.32%,10.02%
66,25.79%,25.00%,20.33%,19.59%
67,26.53%,24.73%,21.17%,11.04%
68,34.37%,32.40%,20.83%,2.78%
69,34.98%,30.43%,24.58%,5.36%
70,47.13%,29.36%,18.19%,1.22%
71,48.76%,28.53%,13.88%,4.01%
72,39.43%,33.54%,14.97%,3.42%
73,26.63%,22.32%,20.63%,14.84%
74,27.96%,25.49%,12.66%,9.69%
75,25.42%,25.08%,19.69%,17.28%
76,36.95%,24.46%,14.83%,10.66%
77,34.70%,30.40%,17.53%,10.38%
78,28.88%,24.65%,22.60%,14.74%
79,33.84%,31.09%,27.21%,3.66%
80,45.81%,45.30%,2.96%,1.96%
81,45.04%,38.10%,5.64%,3.38%
82,43.11%,35.16%,15.97%,1.66%
83,34.76%,23.04%,18.59%,6.82%
84,27.16%,26.91%,26.44%,15.07%
85,41.53%,24.74%,23.74%,5.31%
86,33.90%,30.29%,21.23%,8.79%
87,32.47%,29.40%,21.89%,11.18%
88,37.77%,26.10%,20.31%,6.81%
89,34.77%,22.90%,19.45%,15.00%
90,34.84%,25.46%,19.34%,11.33%
91,33.09%,30.32%,16.91%,7.63%
92,36.36%,32.65%,15.91%,11.14%
93,39.70%,39.32%,11.13%,6.41%
94,54.07%,39.67%,1.31%,1.16%
95,32.79%,28.96%,28.25%,3.53%
96,51.31%,37.24%,2.06%,2.06%
97,33.67%,32.76%,23.29%,5.24%
98,51.96%,28.80%,6.16%,5.85%
99,46.01%,24.48%,17.15%,2.28%
100,25.41%,20.08%,18.35%,11.34%
101,23.82%,21.53%,19.10%,9.54%
102,35.44%,19.69%,15.98%,13.56%
103,45.63%,32.60%,12.28%,4.09%
104,24.02%,22.04%,20.09%,17.38%
105,36.16%,23.14%,17.74%,4.42%
106,36.97%,21.91%,13.91%,13.84%
107,32.94%,24.43%,14.55%,12.01%
108,40.78%,22.99%,15.12%,11.38%
109,50.25%,27.41%,13.86%,3.15%
110,46.90%,31.22%,6.65%,4.99%
111,53.19%,30.08%,9.57%,2.15%
112,44.33%,23.02%,20.25%,6.24%
113,33.01%,29.83%,25.45%,5.91%
114,32.43%,27.74%,13.15%,9.84%
115,32.44%,24.47%,23.06%,6.42%
116,32.76%,28.82%,24.85%,5.33%
117,29.64%,27.16%,24.92%,6.69%
118,23.98%,23.97%,19.02%,14.38%
119,31.23%,26.93%,19.19%,10.06%
120,32.55%,23.63%,17.03%,9.50%
121,35.58%,26.17%,20.39%,10.71%
122,35.09%,25.41%,20.91%,11.36%
123,26.87%,25.23%,14.34%,12.99%
124,37.19%,22.60%,16.77%,11.73%
125,33.71%,21.40%,15.82%,10.59%
126,30.85%,28.17%,24.96%,9.55%
127,27.37%,25.48%,21.23%,13.60%
128,35.27%,19.80%,15.19%,8.57%
129,32.98%,19.21%,16.42%,15.10%
130,49.71%,24.76%,14.28%,7.00%
131,27.51%,27.04%,16.93%,8.98%
132,37.97%,37.69%,14.90%,6.02%
133,36.28%,30.82%,18.93%,3.52%
134,28.78%,24.50%,24.30%,15.13%
135,45.00%,36.08%,11.00%,3.34%
136,29.35%,27.04%,13.66%,13.38%
137,27.29%,24.37%,11.56%,11.34%
138,36.39%,21.33%,17.37%,8.00%
139,37.04%,28.35%,27.35%,3.88%
140,37.46%,20.35%,12.91%,12.68%
141,30.54%,30.04%,25.73%,5.89%
142,38.65%,20.90%,19.67%,12.38%
143,45.29%,31.55%,8.57%,7.36%
144,28.86%,23.19%,14.52%,11.00%
145,40.04%,29.60%,13.36%,8.52%
146,29.68%,24.44%,22.36%,13.01%
147,38.36%,32.06%,20.21%,2.68%
148,37.08%,27.96%,24.00%,6.23%
149,38.19%,34.42%,11.23%,7.08%
150,28.08%,26.69%,22.24%,9.91%
151,46.59%,36.05%,11.01%,2.52%
152,36.65%,33.35%,15.30%,6.39%
153,32.76%,31.94%,18.18%,9.26%
154,23.32%,21.17%,17.86%,16.63%
155,44.27%,38.79%,6.41%,5.60%
156,54.60%,32.93%,7.94%,1.83%
157,36.70%,33.32%,17.08%,4.93%
158,38.12%,34.30%,15.67%,2.34%
159,30.50%,27.05%,25.50%,5.62%
160,38.24%,38.14%,7.74%,6.81%
161,43.87%,33.95%,8.32%,3.57%
162,31.14%,27.33%,13.51%,13.09%
163,42.90%,37.57%,8.03%,7.44%
164,25.98%,21.02%,16.88%,15.99%
165,33.85%,28.28%,26.55%,5.87%
166,33.45%,21.99%,20.74%,13.44%
167,40.94%,27.51%,14.39%,11.28%
168,31.17%,30.07%,26.59%,2.69%
169,36.76%,35.88%,12.25%,4.57%
170,28.88%,25.30%,17.68%,12.61%
171,29.35%,24.76%,21.28%,15.88%
172,28.11%,26.80%,26.73%,13.53%
173,36.31%,25.31%,18.61%,14.82%
174,37.05%,23.60%,21.08%,14.17%
175,38.95%,25.51%,17.82%,13.93%
176,33.48%,22.15%,18.45%,7.22%
177,32.43%,17.21%,15.96%,13.95%
178,33.12%,31.65%,12.99%,11.84%
179,31.09%,22.49%,16.36%,16.08%
180,39.73%,24.22%,18.74%,9.89%
181,40.28%,28.27%,13.46%,11.06%
182,33.06%,26.13%,25.52%,5.24%
183,33.18%,31.80%,25.66%,2.04%
184,32.55%,29.43%,18.88%,14.07%
185,24.36%,24.08%,19.19%,17.08%
186,35.84%,30.47%,21.70%,5.28%
187,28.61%,20.44%,14.70%,14.17%
188,31.91%,28.15%,17.92%,11.84%
189,42.97%,30.48%,14.57%,4.29%
190,41.25%,31.61%,13.61%,3.63%
191,51.40%,31.26%,6.30%,4.60%
192,28.79%,17.62%,16.32%,10.15%
193,32.13%,20.16%,18.48%,13.00%
194,18.95%,18.86%,16.85%,14.91%
195,29.97%,19.16%,16.22%,12.89%
196,31.34%,30.26%,27.53%,4.31%
197,41.90%,24.53%,17.26%,6.56%
198,46.11%,24.10%,20.34%,2.71%
199,61.90%,24.32%,5.89%,3.83%
200,37.37%,34.25%,13.83%,6.26%
201,41.06%,32.48%,17.29%,3.93%
202,36.11%,27.06%,21.94%,11.28%
203,43.35%,29.65%,17.79%,2.56%
204,36.49%,29.56%,24.53%,2.21%
205,39.46%,29.53%,14.72%,7.70%
206,37.12%,36.46%,11.75%,10.53%
207,29.88%,28.68%,25.38%,7.97%
208,29.31%,26.94%,17.73%,11.94%
209,40.82%,33.36%,11.84%,10.53%
210,29.82%,29.49%,25.30%,8.77%
211,29.97%,28.38%,25.34%,13.19%
212,35.33%,27.68%,19.14%,10.15%
213,42.17%,27.50%,16.44%,11.83%
214,40.73%,28.47%,15.39%,10.18%
215,35.82%,34.68%,12.74%,12.68%
216,29.48%,23.03%,21.56%,18.15%
217,37.99%,24.34%,23.57%,7.74%
218,28.54%,28.15%,24.09%,13.22%
219,28.54%,20.04%,18.26%,15.07%
220,28.89%,25.90%,23.43%,6.65%
221,28.34%,25.34%,19.10%,13.46%
222,34.18%,30.69%,22.22%,6.44%
223,31.36%,27.58%,18.52%,17.34%
224,29.10%,26.25%,20.58%,18.15%
225,33.72%,26.11%,21.66%,9.21%
226,29.06%,24.94%,19.82%,11.02%
227,25.93%,25.29%,24.60%,14.85%
228,27.59%,24.21%,21.01%,13.17%
229,40.48%,24.46%,19.94%,6.23%
230,25.19%,24.98%,23.31%,17.39%
231,34.77%,21.64%,21.50%,11.71%
232,37.69%,28.44%,23.23%,5.41%
233,24.24%,23.57%,19.25%,16.34%
234,30.14%,27.39%,21.97%,11.79%
235,32.10%,27.16%,16.25%,16.03%
236,35.78%,26.93%,17.82%,10.37%
237,26.35%,24.13%,18.20%,13.83%
238,44.41%,24.03%,16.09%,6.61%
239,27.90%,23.37%,19.42%,16.98%
240,26.77%,24.74%,23.78%,16.20%
241,33.80%,26.20%,21.86%,11.15%
242,26.11%,24.44%,22.54%,18.41%
243,33.68%,22.92%,14.44%,11.87%
244,49.40%,28.50%,13.04%,1.55%
245,49.29%,19.38%,18.43%,3.56%
246,67.96%,14.12%,8.75%,2.14%
247,27.05%,21.99%,18.56%,8.82%
248,25.95%,21.50%,15.20%,14.40%
249,32.28%,32.20%,27.51%,1.55%
250,38.96%,31.17%,10.36%,8.49%
251,30.26%,25.11%,16.88%,10.91%
252,43.64%,41.63%,7.69%,1.92%
253,30.65%,29.93%,12.17%,8.14%
254,29.17%,26.20%,12.22%,9.61%
255,32.88%,25.73%,15.10%,11.85%
256,38.75%,34.55%,8.33%,6.38%
257,34.18%,27.18%,13.65%,12.46%
258,48.51%,23.63%,17.51%,2.95%
259,28.40%,27.93%,14.28%,6.66%
260,38.10%,37.88%,6.66%,4.54%
261,40.11%,35.10%,10.64%,5.49%
262,37.75%,26.66%,24.10%,8.56%
263,29.44%,29.16%,22.85%,13.08%
264,26.75%,24.58%,14.89%,11.63%
265,24.79%,20.49%,16.91%,13.88%
266,34.17%,23.97%,14.56%,7.70%
267,38.38%,22.41%,18.47%,8.86%
268,38.68%,27.99%,11.13%,7.01%
269,33.79%,23.66%,22.87%,7.86%
270,35.70%,27.26%,24.20%,4.81%
271,32.66%,32.16%,18.34%,7.25%
272,33.62%,27.49%,21.69%,8.81%
273,42.24%,22.65%,18.87%,9.53%
274,27.38%,26.45%,18.60%,9.86%
275,28.74%,25.93%,17.41%,11.45%
276,58.45%,30.39%,3.57%,2.18%
277,46.82%,38.10%,5.89%,4.35%
278,47.30%,31.66%,9.35%,2.79%
279,48.15%,30.04%,6.99%,5.97%
280,41.93%,33.82%,9.33%,6.06%
281,51.31%,36.51%,4.11%,1.89%
282,33.19%,21.95%,19.79%,11.84%
283,28.54%,25.91%,14.10%,11.27%
284,26.18%,24.43%,18.19%,17.34%
285,25.04%,23.50%,22.93%,19.79%
286,29.51%,20.50%,18.78%,16.31%
287,34.82%,20.37%,17.73%,11.84%
288,24.26%,20.52%,20.11%,11.14%
289,31.72%,28.41%,21.97%,10.73%
290,34.29%,28.61%,18.30%,6.82%
291,39.35%,19.58%,18.61%,5.80%
292,33.75%,19.65%,19.45%,13.87%
293,24.04%,23.44%,19.36%,18.07%
294,28.97%,17.74%,17.65%,14.16%
295,40.05%,21.58%,18.50%,4.80%
296,37.20%,28.30%,14.37%,11.74%
297,33.32%,29.78%,26.06%,3.37%
298,43.37%,35.86%,5.82%,5.80%
299,28.16%,25.37%,21.46%,8.29%
300,50.17%,32.77%,4.33%,3.39%
301,26.10%,21.77%,20.22%,19.82%
302,31.00%,20.34%,12.31%,11.63%
303,41.19%,21.81%,16.93%,6.07%
304,28.10%,26.38%,21.62%,8.44%
305,31.36%,23.38%,22.98%,10.86%
306,25.14%,24.24%,23.49%,14.26%
307,43.33%,32.91%,13.14%,5.47%
308,36.05%,30.13%,24.94%,3.07%
309,27.55%,24.67%,18.94%,12.99%
310,29.25%,18.76%,17.72%,13.08%
311,45.84%,35.23%,5.96%,4.35%
312,27.04%,19.29%,15.99%,14.71%
313,27.00%,24.39%,21.06%,13.44%
314,35.55%,27.54%,21.70%,5.18%
315,26.28%,18.97%,18.68%,14.26%
316,40.56%,36.41%,10.95%,4.31%
317,25.12%,17.37%,16.98%,15.05%
318,39.11%,22.39%,20.95%,7.38%
319,26.56%,24.63%,18.59%,16.78%
320,36.63%,32.07%,15.29%,7.54%
321,43.50%,25.68%,14.81%,2.97%
322,49.19%,20.42%,14.43%,6.77%
323,31.31%,22.27%,21.99%,9.38%
324,29.42%,22.37%,12.24%,12.18%
325,35.09%,29.37%,18.27%,5.49%
326,29.28%,17.14%,13.27%,6.26%
327,35.64%,30.10%,16.35%,8.09%
328,30.81%,25.23%,22.59%,8.02%
329,21.94%,20.68%,17.55%,12.70%
330,22.40%,18.07%,16.98%,16.83%
331,27.03%,24.05%,20.23%,13.31%
332,26.74%,23.80%,23.23%,11.26%
333,37.13%,23.90%,10.74%,9.18%
334,30.02%,21.02%,14.79%,5.07%
335,30.19%,19.17%,17.74%,8.75%
336,26.36%,21.56%,20.21%,19.43%
337,33.88%,19.86%,17.72%,15.28%
338,32.98%,30.47%,17.18%,7.86%
339,29.17%,25.15%,13.53%,9.82%
340,35.57%,26.09%,12.29%,7.21%
341,33.79%,22.39%,20.19%,7.13%
342,42.41%,34.81%,6.00%,5.17%
343,52.30%,28.90%,4.79%,4.74%
344,47.66%,29.17%,6.79%,6.45%
345,35.97%,30.04%,18.86%,4.67%
346,29.25%,24.25%,21.59%,9.78%
347,50.42%,33.49%,4.62%,3.58%
348,42.24%,26.48%,14.57%,6.41%
349,28.91%,28.38%,15.37%,14.39%
350,36.56%,35.30%,19.41%,1.81%
