Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
234,32.03%,27.24%,16.59%,10.97%
234,34.59%,30.37%,21.17%,4.61%
236,32.74%,28.06%,21.32%,7.53%
237,37.47%,21.25%,16.90%,12.74%
238,30.18%,30.03%,23.64%,10.13%
239,29.78%,25.21%,24.71%,15.02%
240,33.59%,25.74%,18.05%,16.33%
240,30.05%,25.82%,18.24%,15.67%
241,33.89%,23.34%,17.86%,17.42%
242,35.47%,30.63%,24.44%,3.09%
244,41.59%,25.33%,17.75%,3.98%
245,55.16%,20.76%,12.49%,2.59%
246,65.03%,21.97%,4.50%,2.31%
247,36.37%,27.69%,19.50%,5.51%
248,34.13%,28.16%,17.82%,7.59%
249,32.37%,31.98%,20.94%,5.91%
250,31.74%,27.87%,27.04%,4.78%
251,38.80%,37.45%,12.26%,4.76%
252,43.69%,30.15%,16.72%,2.45%
253,34.98%,34.16%,14.73%,6.31%
254,32.48%,27.25%,18.31%,13.39%
255,44.61%,28.14%,15.32%,9.40%
256,36.98%,25.70%,19.49%,10.41%
256,35.70%,30.69%,19.95%,6.86%
257,36.85%,28.62%,23.32%,4.49%
258,33.31%,26.38%,18.06%,13.99%
259,36.86%,27.09%,19.83%,5.14%
260,45.41%,23.28%,17.86%,5.38%
261,38.68%,27.71%,23.29%,5.55%
263,39.94%,32.05%,13.37%,10.46%
264,32.42%,27.57%,23.97%,6.18%
266,38.91%,32.35%,20.46%,3.10%
266,39.55%,18.83%,18.19%,11.99%
267,38.39%,33.52%,23.15%,1.56%
268,34.21%,31.58%,24.26%,5.53%
270,44.12%,25.61%,25.14%,1.69%
271,29.76%,29.70%,20.24%,11.12%
272,32.20%,28.86%,25.80%,7.01%
273,40.58%,25.33%,15.16%,9.93%
274,27.29%,22.29%,20.62%,16.55%
275,36.89%,21.20%,18.92%,14.32%
277,42.15%,30.95%,12.46%,5.30%
278,41.71%,38.31%,6.19%,5.97%
279,40.78%,38.99%,11.55%,3.05%
280,47.46%,35.64%,7.39%,2.62%
281,47.00%,35.25%,4.99%,4.57%
282,36.94%,26.97%,25.49%,3.91%
282,39.36%,29.98%,24.45%,2.05%
283,42.40%,26.26%,21.69%,3.41%
284,45.78%,23.00%,22.19%,2.97%
285,47.51%,36.45%,11.12%,1.92%
286,38.17%,26.32%,24.85%,5.79%
287,42.85%,27.41%,25.10%,1.02%
287,43.34%,38.63%,12.59%,1.74%
288,44.48%,34.27%,14.58%,2.37%
290,35.85%,27.92%,27.47%,3.43%
290,81.92%,13.77%,3.05%,0.44%
291,41.95%,40.79%,10.15%,1.46%
292,36.22%,33.48%,23.96%,1.39%
293,35.37%,30.67%,28.59%,1.31%
294,48.16%,36.55%,8.70%,1.55%
295,41.55%,36.70%,8.76%,5.70%
296,35.91%,35.73%,18.62%,4.39%
297,42.76%,35.17%,8.41%,7.41%
298,46.39%,34.74%,8.60%,3.30%
299,32.68%,29.34%,22.46%,10.25%
300,55.94%,20.68%,12.89%,3.60%
301,44.36%,35.35%,14.45%,1.46%
302,28.81%,26.67%,18.97%,18.08%
302,34.39%,29.44%,20.45%,8.48%
303,40.42%,21.20%,19.90%,11.98%
304,25.21%,24.24%,22.35%,20.98%
305,49.02%,24.34%,13.28%,7.17%
306,38.91%,31.15%,17.22%,5.46%
306,34.81%,24.78%,17.52%,17.25%
307,25.05%,23.80%,23.02%,18.46%
308,27.53%,23.04%,20.62%,18.45%
309,38.25%,28.65%,21.99%,5.30%
310,28.77%,20.91%,20.14%,17.54%
311,30.46%,21.73%,17.21%,16.91%
312,35.25%,30.62%,20.07%,9.58%
313,41.59%,26.69%,21.38%,5.55%
314,45.03%,27.30%,19.08%,3.95%
315,34.58%,26.18%,19.90%,14.25%
316,36.24%,23.90%,18.44%,17.42%
316,37.68%,28.86%,23.81%,3.28%
317,37.18%,23.14%,21.33%,13.72%
318,34.93%,23.17%,19.05%,18.26%
319,30.38%,26.57%,20.58%,17.19%
320,55.68%,27.56%,9.22%,5.02%
321,47.50%,32.70%,12.88%,3.08%
322,58.02%,28.63%,8.75%,3.16%
323,28.69%,23.68%,22.28%,21.61%
324,45.25%,30.07%,16.08%,5.46%
325,27.81%,27.80%,21.49%,18.79%
326,28.94%,25.94%,21.37%,18.91%
327,29.68%,27.29%,20.24%,18.89%
328,27.46%,25.15%,23.24%,20.64%
329,27.46%,22.89%,22.20%,13.89%
329,44.28%,40.18%,11.78%,2.55%
330,37.10%,21.74%,21.05%,10.49%
331,29.49%,22.21%,20.43%,16.41%
332,37.30%,20.59%,20.56%,15.69%
333,34.20%,27.35%,17.18%,14.11%
334,37.53%,18.50%,17.99%,14.55%
336,28.55%,26.46%,20.38%,9.14%
337,30.85%,27.03%,17.70%,16.27%
338,31.10%,26.02%,20.24%,11.02%
339,37.33%,28.28%,17.27%,11.45%
340,33.75%,31.73%,17.60%,10.99%
342,28.13%,26.98%,22.41%,16.13%
343,40.51%,31.47%,10.55%,7.03%
344,37.21%,32.54%,14.97%,5.76%
345,31.21%,28.43%,17.87%,6.18%
346,44.82%,30.92%,15.03%,4.63%
347,31.87%,28.43%,27.54%,6.22%
348,40.60%,31.00%,15.12%,4.21%
349,44.76%,32.82%,10.40%,5.47%
350,43.05%,34.26%,9.63%,6.09%
