Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
1,42.38%,32.07%,17.56%,4.37%
2,36.89%,33.73%,20.95%,5.05%
3,36.99%,30.42%,20.31%,10.12%
4,48.20%,31.60%,13.04%,4.53%
5,32.85%,29.06%,26.24%,8.77%
6,38.04%,27.34%,26.43%,5.43%
7,39.05%,30.27%,25.69%,1.76%
8,76.38%,11.74%,8.08%,1.67%
9,58.38%,26.75%,10.61%,1.29%
11,31.65%,22.69%,20.26%,19.70%
11,74.09%,16.04%,6.38%,1.19%
12,40.46%,37.36%,15.38%,2.44%
13,41.56%,25.47%,15.61%,13.22%
14,33.66%,25.35%,24.42%,13.99%
15,33.49%,30.26%,21.74%,5.97%
15,55.97%,23.04%,8.38%,5.70%
16,32.94%,27.00%,26.34%,9.37%
17,41.05%,31.34%,13.08%,7.99%
18,32.23%,29.16%,20.87%,8.31%
18,41.22%,36.22%,10.85%,3.25%
19,38.13%,32.64%,18.76%,4.98%
20,31.47%,28.64%,22.94%,14.17%
21,33.98%,26.57%,18.53%,18.00%
22,43.15%,27.91%,16.84%,4.73%
23,49.43%,29.13%,12.12%,2.49%
25,36.53%,33.45%,17.46%,8.34%
26,39.78%,38.29%,12.05%,6.13%
27,50.57%,33.88%,10.11%,1.83%
29,32.64%,26.78%,21.98%,7.53%
29,45.96%,36.29%,12.14%,3.31%
31,35.00%,30.31%,20.88%,8.19%
33,46.70%,27.37%,19.22%,2.74%
34,31.63%,27.68%,14.23%,12.97%
35,53.44%,16.30%,13.45%,11.89%
36,28.55%,24.21%,20.32%,18.54%
38,26.98%,23.27%,19.41%,18.95%
40,35.27%,27.35%,19.55%,14.10%
41,37.09%,25.08%,17.94%,17.24%
43,42.12%,33.82%,12.51%,9.66%
44,37.05%,30.99%,22.84%,7.18%
45,38.79%,34.31%,17.01%,5.22%
46,39.24%,36.82%,13.10%,7.23%
47,40.91%,23.16%,16.42%,14.90%
48,49.21%,27.43%,10.34%,9.23%
49,34.96%,32.54%,19.93%,8.74%
50,83.59%,7.28%,4.46%,2.35%
51,63.58%,15.76%,14.30%,4.80%
52,33.86%,31.05%,24.70%,3.82%
52,51.54%,19.57%,19.09%,7.71%
53,32.71%,31.09%,25.40%,3.27%
54,30.26%,25.93%,25.20%,16.11%
56,37.02%,33.85%,15.05%,11.80%
57,33.81%,22.20%,21.30%,19.93%
59,28.15%,26.10%,25.64%,17.41%
60,30.66%,30.00%,20.60%,15.42%
62,38.25%,30.85%,17.02%,11.75%
63,31.33%,28.99%,18.81%,17.20%
64,37.04%,24.58%,19.43%,16.22%
65,44.55%,35.17%,10.87%,6.28%
66,47.24%,26.18%,17.57%,5.29%
67,40.35%,31.42%,19.53%,4.91%
68,54.48%,17.72%,12.17%,12.16%
69,36.44%,27.76%,24.34%,6.76%
70,34.89%,28.47%,22.99%,10.86%
71,29.20%,26.06%,22.92%,18.52%
72,43.68%,26.66%,21.91%,1.99%
72,35.79%,32.39%,17.10%,10.97%
73,51.01%,22.74%,17.76%,5.86%
74,39.14%,32.87%,21.11%,2.06%
74,33.40%,32.46%,25.18%,5.47%
75,30.90%,29.94%,17.75%,15.43%
76,51.82%,28.81%,13.50%,4.08%
77,37.15%,25.49%,20.39%,12.43%
78,48.57%,26.13%,14.22%,9.25%
79,35.93%,26.41%,19.97%,11.11%
79,44.05%,30.23%,20.78%,2.95%
80,32.11%,31.60%,29.97%,3.54%
81,42.61%,24.97%,16.82%,12.33%
82,35.13%,30.71%,20.09%,11.08%
83,29.89%,29.10%,23.05%,15.29%
84,50.15%,28.53%,12.58%,5.20%
85,37.84%,24.57%,19.11%,15.81%
86,36.15%,32.17%,26.26%,1.57%
87,33.50%,28.05%,27.24%,6.22%
88,36.69%,36.66%,19.15%,4.11%
89,41.49%,31.54%,22.91%,1.13%
90,34.07%,30.55%,28.80%,3.10%
91,40.45%,32.02%,23.83%,0.95%
92,28.40%,27.26%,25.70%,14.17%
93,40.85%,30.47%,14.10%,10.89%
94,37.62%,37.17%,13.17%,7.30%
95,39.61%,27.30%,26.60%,2.83%
96,69.21%,14.04%,13.88%,1.16%
97,36.65%,28.97%,16.93%,14.10%
98,62.47%,19.20%,10.01%,4.57%
99,63.71%,17.82%,14.57%,1.71%
100,49.64%,31.91%,13.71%,2.81%
101,41.65%,41.28%,11.55%,4.14%
102,53.83%,25.94%,11.40%,7.81%
103,48.79%,42.79%,6.03%,1.35%
104,44.30%,41.44%,9.41%,3.61%
105,64.62%,19.66%,12.03%,1.47%
106,41.51%,34.94%,19.55%,1.02%
107,50.07%,27.05%,17.73%,2.37%
108,30.73%,22.64%,20.23%,17.20%
109,56.91%,25.33%,14.11%,1.02%
110,78.02%,11.03%,8.51%,0.84%
111,74.43%,11.38%,8.31%,3.75%
112,38.29%,25.86%,21.66%,9.45%
113,59.51%,24.67%,8.40%,5.17%
114,45.04%,28.57%,21.71%,1.87%
115,44.57%,39.31%,9.81%,3.94%
116,29.76%,29.37%,29.21%,5.55%
117,31.57%,25.27%,24.34%,11.96%
118,35.70%,30.67%,16.59%,13.24%
119,33.00%,23.03%,21.19%,18.25%
120,35.75%,24.51%,21.28%,14.68%
121,32.50%,21.81%,20.46%,12.18%
121,38.48%,36.33%,12.33%,8.96%
122,28.88%,25.33%,22.89%,14.41%
123,27.11%,26.49%,26.10%,8.70%
124,44.96%,42.73%,5.30%,4.76%
124,41.42%,30.91%,18.95%,3.45%
125,37.14%,27.15%,17.58%,13.90%
126,30.83%,28.00%,26.98%,4.44%
126,36.48%,35.98%,18.55%,4.28%
127,40.25%,23.57%,23.02%,7.92%
128,43.26%,17.77%,17.01%,12.70%
129,30.19%,24.50%,21.37%,17.14%
130,38.94%,28.60%,20.84%,6.79%
131,34.60%,24.21%,17.17%,16.10%
132,31.23%,29.86%,22.58%,10.31%
133,35.51%,31.97%,13.56%,11.24%
134,38.02%,29.46%,22.52%,5.77%
135,41.80%,27.09%,15.39%,10.10%
136,31.72%,25.18%,20.69%,15.40%
137,34.81%,29.65%,23.47%,4.20%
139,30.34%,30.32%,30.05%,2.75%
140,33.53%,31.78%,23.18%,3.62%
141,32.84%,30.12%,29.01%,1.41%
143,39.96%,29.68%,22.12%,2.72%
145,41.68%,27.81%,15.62%,10.89%
146,26.80%,23.17%,20.52%,18.34%
147,31.59%,27.41%,20.71%,9.87%
148,29.48%,26.79%,18.48%,17.31%
149,32.21%,29.44%,20.22%,9.90%
150,37.06%,29.02%,23.37%,4.25%
151,44.68%,35.34%,9.88%,5.67%
152,40.35%,34.79%,11.98%,8.31%
153,32.06%,29.19%,17.44%,16.48%
154,38.93%,30.84%,16.03%,4.41%
155,34.62%,31.25%,26.24%,3.58%
156,51.57%,24.06%,17.33%,1.79%
157,36.95%,35.63%,19.34%,2.31%
158,38.75%,27.77%,25.64%,2.33%
159,34.40%,33.33%,25.26%,1.73%
159,30.67%,29.98%,25.37%,8.21%
161,40.84%,35.12%,16.66%,2.06%
162,41.71%,34.88%,12.59%,5.86%
163,38.44%,24.63%,17.83%,14.00%
164,30.10%,29.04%,20.41%,12.90%
165,30.84%,26.53%,21.37%,17.68%
166,29.25%,26.92%,18.60%,17.23%
167,31.03%,25.91%,19.08%,18.24%
168,32.61%,25.39%,17.01%,13.97%
169,48.61%,22.52%,17.18%,4.92%
170,25.86%,25.43%,23.13%,17.66%
171,59.68%,18.32%,11.90%,3.97%
172,58.03%,16.53%,15.38%,3.88%
174,60.04%,16.45%,12.40%,5.43%
175,60.57%,13.95%,10.65%,8.69%
176,28.51%,27.66%,22.82%,13.52%
177,55.74%,18.49%,12.87%,4.43%
177,51.05%,33.90%,8.68%,3.10%
178,70.35%,12.34%,10.07%,2.09%
179,62.64%,17.43%,6.88%,5.46%
179,24.89%,24.36%,17.94%,14.96%
180,57.78%,27.45%,4.68%,3.08%
181,65.89%,17.35%,8.16%,2.37%
182,61.52%,15.30%,9.00%,8.05%
183,56.64%,19.17%,12.86%,3.28%
184,70.75%,14.24%,8.75%,1.71%
185,60.84%,21.19%,11.42%,1.68%
186,63.27%,18.99%,8.77%,2.53%
187,31.60%,27.86%,21.33%,12.02%
188,36.66%,23.48%,18.59%,16.21%
189,41.58%,20.18%,18.65%,10.86%
190,36.95%,23.87%,19.24%,12.31%
191,33.81%,23.94%,21.65%,11.75%
192,27.52%,23.66%,20.29%,18.79%
193,38.98%,21.82%,16.67%,14.16%
194,34.95%,24.30%,16.90%,15.49%
195,32.93%,19.46%,18.40%,17.39%
196,64.69%,16.63%,14.93%,2.13%
197,50.49%,25.61%,20.14%,1.49%
198,47.46%,24.98%,21.99%,2.22%
199,87.99%,5.54%,5.09%,0.44%
200,48.35%,33.83%,13.25%,2.17%
202,54.50%,32.89%,10.07%,0.80%
203,37.59%,29.66%,27.27%,1.74%
204,37.23%,30.07%,27.47%,1.74%
205,32.29%,30.76%,30.46%,1.87%
206,38.31%,35.10%,21.89%,1.27%
207,40.12%,34.98%,10.95%,9.67%
207,29.50%,27.83%,22.79%,15.49%
208,33.34%,30.85%,20.17%,11.34%
209,37.64%,35.42%,18.96%,2.64%
210,32.96%,28.96%,25.21%,6.44%
211,39.43%,24.97%,17.72%,15.61%
212,41.45%,35.23%,15.57%,5.33%
213,37.04%,29.99%,23.51%,6.09%
214,46.58%,28.62%,18.71%,4.27%
215,52.19%,20.66%,19.30%,2.95%
215,36.33%,31.94%,28.31%,1.66%
216,38.85%,30.37%,24.20%,3.99%
217,38.39%,37.46%,18.03%,1.82%
219,38.21%,30.02%,14.56%,7.54%
219,37.68%,29.40%,27.38%,2.16%
220,33.93%,31.03%,27.24%,3.78%
221,36.74%,24.89%,24.41%,10.00%
222,36.75%,26.32%,22.09%,8.99%
223,32.25%,27.87%,19.84%,17.32%
224,34.69%,29.90%,20.53%,7.44%
225,31.27%,28.29%,27.67%,3.78%
226,28.72%,28.30%,25.04%,10.00%
227,26.59%,26.38%,25.89%,10.89%
228,45.62%,34.60%,8.38%,5.17%
229,42.65%,22.09%,20.14%,8.66%
230,30.93%,29.15%,22.17%,9.85%
231,35.66%,25.65%,23.54%,7.17%
232,33.16%,25.50%,24.58%,9.03%
233,38.13%,28.31%,21.25%,2.76%
