Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
1,37.20%,32.83%,20.92%,7.02%
2,44.01%,30.15%,22.68%,1.54%
3,49.72%,40.86%,5.61%,2.50%
4,37.40%,30.25%,26.34%,4.55%
5,44.91%,28.98%,19.90%,4.68%
6,39.77%,29.00%,25.76%,3.62%
7,49.92%,27.79%,17.58%,3.10%
8,48.54%,35.68%,11.47%,2.65%
9,52.09%,28.92%,11.37%,6.11%
10,60.34%,25.14%,6.41%,6.24%
11,61.73%,24.42%,11.29%,0.56%
12,56.15%,26.35%,14.52%,0.79%
13,48.59%,30.25%,18.30%,1.40%
14,59.90%,29.52%,6.42%,2.38%
15,61.20%,20.10%,15.50%,0.98%
16,47.78%,32.80%,15.08%,1.58%
17,36.11%,35.62%,25.08%,0.50%
18,34.24%,32.76%,26.66%,3.71%
19,44.55%,26.45%,18.36%,5.33%
20,40.82%,28.74%,26.44%,1.63%
21,44.83%,26.31%,24.71%,1.74%
22,41.12%,29.05%,22.32%,3.85%
23,46.07%,26.60%,19.48%,3.66%
24,41.82%,26.85%,24.02%,3.89%
25,40.08%,35.94%,16.16%,3.98%
26,41.40%,41.20%,11.95%,1.26%
27,46.30%,37.79%,9.24%,3.50%
28,51.13%,35.41%,8.53%,2.15%
29,38.72%,28.81%,26.51%,1.79%
30,37.57%,31.70%,22.43%,3.58%
31,49.77%,22.25%,20.53%,2.55%
32,32.45%,31.17%,24.54%,7.44%
33,44.96%,25.71%,24.40%,1.52%
34,36.42%,30.79%,23.46%,7.72%
35,41.90%,29.48%,19.93%,6.83%
36,45.57%,29.18%,13.19%,9.95%
37,45.48%,33.25%,16.84%,2.74%
38,47.23%,25.63%,14.49%,10.38%
39,53.10%,27.11%,17.29%,1.02%
40,50.27%,34.51%,13.03%,0.82%
41,55.02%,32.39%,10.19%,0.59%
42,50.99%,33.98%,13.09%,0.48%
43,34.11%,27.26%,19.39%,17.41%
44,56.76%,28.58%,11.08%,1.16%
45,47.83%,26.54%,21.70%,2.17%
46,42.80%,28.44%,25.92%,1.61%
47,65.30%,18.89%,6.71%,6.59%
48,42.94%,27.46%,24.19%,3.85%
49,42.66%,33.43%,18.98%,3.08%
50,38.74%,31.37%,18.38%,9.70%
51,47.32%,22.36%,18.20%,10.37%
52,44.04%,26.52%,13.98%,13.18%
53,48.91%,17.89%,12.92%,9.86%
54,63.36%,14.93%,12.03%,5.20%
55,62.76%,12.04%,10.93%,8.59%
56,56.60%,18.10%,15.92%,4.72%
57,48.63%,19.36%,15.96%,12.72%
58,46.92%,20.93%,17.06%,12.69%
59,45.51%,30.15%,18.58%,4.03%
60,53.71%,22.54%,20.97%,1.48%
61,65.29%,11.57%,9.47%,8.66%
62,44.89%,34.23%,15.79%,1.78%
63,39.28%,35.44%,21.25%,0.62%
64,44.98%,33.46%,17.90%,0.51%
65,55.19%,18.84%,18.17%,5.16%
66,64.86%,15.26%,12.18%,4.91%
67,57.31%,19.07%,14.69%,6.33%
68,67.23%,14.23%,13.33%,1.96%
69,57.30%,23.75%,13.45%,2.77%
70,52.22%,22.58%,20.64%,0.73%
71,53.53%,28.04%,9.56%,6.55%
72,52.99%,29.46%,11.61%,3.41%
73,45.33%,24.51%,19.39%,8.27%
74,49.82%,22.65%,20.07%,5.98%
75,44.32%,28.28%,17.20%,7.14%
76,46.35%,34.03%,12.94%,4.46%
77,58.79%,20.87%,9.81%,9.31%
78,57.77%,23.41%,12.56%,4.68%
79,49.08%,18.84%,15.48%,15.37%
80,44.19%,27.29%,20.86%,6.26%
81,60.70%,14.39%,13.80%,6.76%
82,42.06%,34.86%,15.78%,2.76%
83,51.40%,20.60%,20.47%,3.69%
84,67.21%,15.28%,10.90%,1.76%
85,43.80%,29.39%,20.55%,2.45%
86,51.16%,25.24%,19.15%,1.97%
87,52.82%,32.70%,6.96%,4.37%
88,55.15%,33.60%,4.64%,4.11%
89,65.19%,23.02%,4.71%,4.30%
90,50.35%,28.91%,12.53%,3.41%
91,51.29%,24.06%,15.74%,4.37%
92,38.93%,27.91%,26.13%,1.94%
93,47.04%,25.87%,20.97%,1.07%
94,34.88%,29.38%,29.35%,1.04%
95,45.80%,32.21%,19.35%,0.82%
96,55.53%,35.53%,6.98%,0.47%
97,44.60%,42.58%,10.13%,0.87%
98,50.15%,36.13%,11.19%,0.73%
99,63.29%,28.56%,6.16%,0.51%
100,51.08%,30.22%,15.01%,1.41%
101,53.78%,24.33%,17.32%,2.17%
102,41.24%,40.94%,14.14%,1.57%
103,57.81%,27.54%,6.16%,3.34%
104,54.00%,26.58%,15.94%,1.45%
105,58.71%,26.11%,12.14%,0.89%
106,48.32%,31.38%,16.61%,1.30%
107,51.48%,26.46%,19.31%,1.08%
108,40.29%,39.69%,16.82%,1.00%
109,56.08%,24.04%,17.37%,0.62%
110,66.97%,18.68%,12.27%,0.55%
111,59.85%,27.58%,9.41%,0.49%
112,46.05%,35.34%,15.16%,0.62%
113,52.69%,23.43%,20.77%,0.56%
114,39.84%,36.62%,19.77%,0.83%
115,44.49%,40.61%,11.72%,0.68%
116,33.23%,29.06%,23.55%,12.42%
117,40.95%,24.12%,23.12%,9.51%
118,45.22%,29.52%,21.27%,2.46%
119,51.34%,26.10%,15.02%,4.61%
120,45.61%,33.61%,13.07%,5.24%
121,50.06%,29.18%,11.05%,7.05%
122,45.58%,28.89%,15.15%,8.43%
123,45.72%,28.62%,15.93%,7.80%
124,55.64%,24.36%,10.70%,7.09%
125,54.56%,22.71%,15.55%,5.08%
126,42.88%,28.35%,17.15%,9.52%
127,55.34%,26.67%,12.88%,2.49%
128,63.10%,17.78%,12.67%,3.34%
129,48.77%,25.09%,18.90%,4.15%
130,51.66%,28.83%,15.44%,1.54%
131,44.06%,25.98%,24.33%,3.22%
132,39.86%,31.10%,25.54%,1.21%
133,44.22%,26.00%,23.23%,2.23%
134,52.00%,21.42%,20.48%,2.57%
135,52.12%,23.93%,17.21%,3.25%
136,48.10%,27.31%,19.78%,2.08%
137,37.38%,29.85%,14.76%,14.59%
138,41.82%,20.87%,17.03%,16.44%
139,38.53%,28.49%,18.07%,12.16%
140,36.91%,27.47%,18.39%,13.72%
141,33.73%,27.04%,16.82%,15.65%
142,43.01%,24.09%,17.79%,12.15%
143,36.63%,22.50%,18.71%,18.04%
144,34.86%,23.73%,22.84%,14.60%
145,32.79%,24.86%,20.78%,17.32%
146,41.82%,31.27%,17.07%,5.75%
147,33.47%,25.52%,21.42%,13.89%
148,39.99%,36.96%,17.50%,1.51%
149,38.79%,37.14%,17.98%,2.31%
150,44.30%,32.65%,14.53%,1.97%
151,46.09%,37.93%,9.47%,2.72%
152,35.44%,29.03%,28.59%,2.49%
153,39.25%,32.38%,22.32%,3.40%
154,48.66%,29.30%,18.10%,1.40%
155,40.05%,36.12%,16.97%,4.18%
156,37.22%,34.25%,24.70%,1.47%
157,35.11%,34.25%,23.83%,3.81%
158,35.82%,31.72%,28.39%,1.25%
159,50.76%,25.12%,20.37%,1.56%
160,44.61%,34.09%,16.72%,1.89%
161,37.90%,33.75%,19.31%,6.54%
162,43.10%,19.19%,17.93%,13.44%
163,41.29%,18.50%,17.75%,15.51%
164,41.06%,21.88%,17.27%,13.58%
165,52.02%,16.46%,14.04%,13.03%
166,45.05%,17.24%,16.37%,15.21%
167,36.76%,22.28%,21.11%,13.51%
168,46.48%,24.20%,22.53%,2.12%
169,43.68%,25.95%,20.39%,6.00%
170,50.00%,22.28%,15.22%,7.89%
171,48.86%,31.79%,6.47%,5.42%
172,55.21%,25.73%,6.77%,6.16%
173,64.31%,19.64%,6.37%,4.54%
174,47.14%,37.30%,5.51%,4.94%
175,55.53%,27.31%,7.36%,5.40%
176,34.55%,33.33%,22.00%,4.45%
177,56.61%,26.82%,9.55%,1.23%
178,44.42%,37.96%,6.55%,1.71%
179,64.60%,20.43%,7.57%,1.27%
180,71.83%,16.70%,5.44%,1.50%
181,50.18%,31.33%,5.41%,2.36%
182,65.65%,19.98%,8.11%,1.27%
183,61.81%,22.38%,8.26%,1.55%
184,45.24%,37.31%,6.41%,2.15%
185,47.60%,35.16%,6.09%,2.69%
186,46.63%,30.20%,8.76%,5.92%
187,42.97%,31.27%,16.85%,3.79%
188,44.94%,30.10%,17.87%,2.73%
189,42.74%,28.84%,18.84%,4.78%
190,42.27%,25.81%,22.41%,4.36%
191,40.90%,31.18%,16.32%,6.20%
192,39.34%,22.53%,13.82%,12.53%
193,42.94%,20.56%,13.65%,13.64%
194,53.91%,17.87%,13.57%,9.17%
195,50.13%,15.12%,14.49%,9.93%
196,50.02%,40.64%,7.54%,0.49%
197,46.65%,42.99%,8.59%,0.50%
198,44.62%,41.37%,11.99%,0.60%
199,79.61%,10.78%,8.29%,0.25%
200,48.47%,35.18%,11.96%,1.70%
201,41.52%,32.17%,22.74%,1.58%
202,44.28%,39.04%,14.59%,0.52%
203,47.16%,27.70%,21.70%,1.25%
204,48.15%,26.24%,22.59%,1.12%
205,42.64%,39.06%,16.56%,0.47%
206,37.00%,27.95%,21.81%,9.83%
207,51.15%,23.46%,21.52%,1.45%
208,45.59%,25.18%,23.29%,4.13%
209,51.31%,23.80%,19.50%,3.65%
210,43.36%,23.70%,19.76%,9.20%
211,65.41%,12.03%,11.93%,6.60%
212,65.74%,19.21%,8.06%,2.99%
213,48.19%,39.27%,6.01%,3.34%
214,52.86%,36.58%,3.90%,3.77%
