Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
215,69.49%,18.03%,7.24%,2.22%
216,44.66%,42.80%,5.87%,3.46%
217,56.55%,16.23%,12.99%,10.29%
218,46.99%,25.01%,14.04%,8.89%
219,52.80%,25.84%,13.14%,5.95%
220,49.93%,24.37%,15.65%,7.56%
221,52.63%,21.11%,13.60%,10.48%
222,40.18%,38.28%,14.07%,4.22%
223,55.29%,18.19%,13.51%,11.22%
224,35.93%,35.62%,19.66%,5.41%
225,47.24%,22.68%,22.22%,5.26%
226,45.74%,28.22%,14.38%,7.09%
227,43.62%,27.70%,19.47%,4.50%
228,47.62%,21.67%,17.99%,5.98%
229,46.93%,15.06%,13.64%,13.05%
230,53.65%,19.00%,17.33%,4.38%
231,42.44%,21.69%,18.67%,11.17%
232,44.68%,27.40%,18.21%,4.60%
233,36.18%,28.63%,25.97%,3.27%
234,40.33%,25.32%,24.95%,3.57%
235,48.72%,24.07%,15.31%,7.19%
236,40.82%,27.36%,22.55%,3.26%
237,37.09%,28.73%,22.62%,4.76%
238,57.73%,20.66%,17.12%,1.42%
239,50.71%,29.71%,14.75%,2.06%
240,43.27%,29.41%,19.02%,5.67%
241,50.12%,29.93%,13.66%,2.55%
242,34.90%,29.99%,21.40%,10.27%
243,42.26%,32.09%,16.82%,4.77%
244,54.00%,21.69%,12.54%,5.43%
245,46.36%,30.45%,14.35%,4.25%
246,57.50%,25.95%,10.27%,2.87%
247,48.74%,24.38%,13.25%,8.94%
248,51.58%,27.24%,9.22%,7.05%
249,44.44%,25.22%,18.79%,7.07%
250,43.57%,27.06%,20.59%,4.66%
251,40.08%,26.31%,25.97%,2.73%
252,40.58%,34.40%,15.85%,3.89%
253,46.19%,23.78%,21.06%,4.13%
254,49.68%,22.68%,20.83%,3.19%
255,49.14%,22.96%,21.42%,3.06%
256,49.59%,25.84%,18.26%,3.02%
257,45.39%,27.55%,20.57%,2.03%
258,41.47%,28.38%,23.68%,2.20%
259,33.04%,32.40%,22.59%,5.56%
260,38.83%,30.03%,19.96%,4.54%
261,55.09%,20.43%,10.86%,10.58%
262,62.37%,11.81%,11.77%,11.04%
263,51.62%,22.95%,16.17%,5.41%
264,30.36%,24.42%,23.97%,13.68%
265,33.34%,22.46%,18.36%,17.89%
266,41.76%,22.66%,17.55%,15.19%
267,43.60%,19.72%,19.67%,12.74%
268,39.14%,28.52%,16.80%,12.43%
269,42.82%,24.61%,16.73%,12.52%
270,46.28%,22.59%,14.68%,12.69%
271,42.75%,21.08%,18.57%,13.12%
272,47.77%,19.39%,18.02%,11.00%
273,45.17%,27.45%,14.14%,8.99%
274,50.02%,17.52%,16.89%,11.62%
275,58.17%,15.09%,12.79%,11.13%
276,48.05%,23.33%,20.07%,4.22%
277,45.72%,28.07%,19.69%,2.06%
278,39.86%,30.10%,24.49%,1.50%
279,39.20%,26.87%,18.07%,5.76%
280,36.90%,35.56%,21.35%,1.59%
281,39.48%,30.43%,24.07%,1.61%
282,44.46%,32.16%,14.91%,3.76%
283,48.12%,39.16%,7.28%,2.22%
284,46.57%,39.49%,8.58%,2.51%
285,55.77%,27.94%,10.78%,2.17%
286,46.94%,37.58%,10.62%,2.55%
287,40.45%,23.98%,19.05%,11.73%
288,40.15%,39.48%,11.85%,4.17%
289,36.28%,34.37%,19.95%,2.80%
290,38.39%,28.02%,23.87%,3.27%
291,34.23%,22.57%,19.36%,17.56%
292,30.37%,26.85%,20.52%,16.75%
293,37.43%,26.52%,14.30%,11.76%
294,39.09%,25.20%,18.36%,9.97%
295,38.55%,21.36%,15.22%,10.00%
296,45.28%,18.75%,14.00%,10.39%
297,38.85%,35.81%,14.10%,7.05%
298,41.21%,29.48%,20.69%,3.88%
299,44.14%,32.99%,14.20%,3.83%
300,51.72%,21.27%,13.31%,6.51%
301,34.97%,27.10%,18.59%,12.25%
302,34.41%,19.92%,17.80%,10.32%
303,39.62%,19.30%,12.39%,10.90%
304,28.38%,19.27%,18.07%,16.70%
305,28.06%,27.20%,26.87%,7.87%
306,29.59%,22.33%,19.94%,15.69%
307,38.33%,33.86%,22.20%,2.23%
308,31.26%,31.05%,30.90%,3.15%
309,33.28%,30.16%,27.95%,2.72%
310,37.41%,28.26%,27.16%,2.92%
311,33.75%,31.91%,27.55%,2.33%
312,36.19%,23.08%,19.90%,9.37%
313,30.03%,23.99%,23.93%,13.62%
314,32.91%,32.29%,23.27%,3.22%
315,39.41%,24.39%,20.07%,8.74%
316,36.95%,28.37%,21.95%,4.89%
317,48.95%,20.48%,18.27%,4.48%
318,46.63%,23.41%,17.37%,5.43%
319,49.84%,20.07%,19.06%,4.22%
320,47.73%,26.50%,17.64%,3.95%
321,55.73%,21.27%,16.62%,2.84%
322,64.95%,15.06%,9.93%,5.87%
323,46.38%,25.60%,19.05%,3.75%
324,45.53%,22.63%,21.38%,6.00%
325,36.35%,31.86%,20.46%,2.52%
326,50.36%,24.54%,17.46%,3.87%
327,44.10%,33.08%,13.48%,5.98%
328,42.80%,29.89%,13.93%,9.95%
329,38.49%,28.63%,16.88%,10.31%
330,36.95%,36.03%,13.31%,8.02%
331,49.32%,23.51%,14.96%,6.83%
332,50.52%,25.33%,16.20%,3.37%
333,44.46%,29.09%,11.76%,10.98%
334,39.65%,27.42%,14.87%,14.60%
335,38.13%,29.12%,15.00%,14.08%
336,51.78%,21.52%,17.44%,4.61%
337,57.70%,21.40%,13.38%,3.58%
338,49.67%,26.60%,17.55%,2.29%
339,52.02%,23.47%,16.47%,3.49%
340,56.56%,15.95%,12.39%,7.91%
341,49.23%,19.39%,16.04%,7.23%
342,54.57%,21.58%,15.42%,3.96%
343,36.67%,36.37%,21.00%,2.07%
344,36.47%,28.34%,25.98%,2.65%
345,32.63%,30.38%,28.44%,2.72%
346,38.22%,34.13%,22.10%,1.38%
347,38.95%,33.30%,22.00%,1.55%
348,33.38%,33.24%,25.20%,2.54%
349,37.72%,28.02%,26.15%,2.24%
350,37.44%,26.64%,25.78%,3.26%
