Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
1,40.91%,34.19%,19.53%,2.81%
2,33.03%,27.10%,25.86%,5.54%
3,48.74%,27.64%,9.17%,8.37%
4,47.76%,28.27%,10.37%,8.64%
5,35.27%,29.24%,20.84%,3.92%
6,39.02%,26.23%,23.67%,2.50%
7,30.33%,27.72%,21.87%,10.14%
8,51.48%,44.06%,1.30%,1.25%
9,31.60%,24.32%,24.06%,16.27%
11,35.61%,28.26%,16.13%,13.94%
11,58.13%,31.69%,6.06%,2.29%
12,31.99%,30.95%,30.81%,3.12%
13,37.05%,26.04%,14.02%,9.46%
14,38.45%,32.50%,20.88%,3.62%
15,35.01%,23.27%,19.78%,11.04%
15,51.87%,31.20%,11.51%,2.83%
16,33.06%,24.60%,21.29%,18.19%
17,33.94%,29.88%,22.99%,3.37%
18,31.66%,30.08%,28.48%,2.51%
18,34.97%,25.01%,20.63%,7.30%
19,24.76%,24.33%,22.09%,10.91%
20,36.63%,29.80%,27.38%,1.73%
21,23.11%,21.80%,20.40%,15.83%
22,35.17%,24.16%,23.39%,3.33%
23,35.91%,29.59%,20.88%,8.62%
25,34.99%,28.01%,10.75%,10.46%
26,45.74%,44.04%,4.28%,3.29%
27,42.21%,27.46%,24.53%,1.12%
29,28.51%,22.33%,22.18%,11.61%
29,30.49%,24.18%,15.20%,13.45%
31,34.09%,33.50%,26.19%,1.71%
33,36.13%,21.49%,16.90%,13.37%
34,43.72%,29.52%,20.48%,2.35%
35,58.28%,28.33%,6.19%,4.41%
36,32.94%,20.97%,16.56%,13.91%
38,41.03%,32.63%,10.61%,5.12%
40,42.13%,23.99%,23.56%,3.92%
41,41.43%,34.95%,9.43%,5.29%
43,36.10%,35.36%,19.89%,5.36%
44,36.47%,29.68%,16.59%,12.22%
45,26.54%,23.88%,22.02%,21.10%
46,36.92%,25.21%,23.76%,9.74%
47,46.94%,33.99%,14.73%,2.52%
48,42.02%,21.84%,20.23%,8.37%
49,36.85%,20.54%,15.26%,14.16%
50,65.87%,16.58%,7.07%,3.56%
51,47.57%,25.56%,19.74%,2.72%
52,39.03%,29.94%,22.96%,1.84%
52,44.33%,31.87%,13.53%,7.05%
53,27.39%,23.37%,18.79%,12.91%
54,36.49%,33.77%,17.78%,4.88%
56,35.72%,33.22%,16.49%,11.49%
57,27.73%,23.87%,22.83%,11.33%
59,31.88%,25.00%,23.48%,13.29%
60,32.47%,26.96%,16.49%,7.38%
62,26.28%,20.38%,11.66%,11.60%
63,26.11%,25.84%,25.48%,9.91%
64,31.85%,26.29%,17.69%,17.64%
65,28.42%,24.74%,23.77%,13.74%
66,25.94%,23.75%,23.45%,15.13%
67,23.64%,22.79%,18.03%,16.03%
68,43.60%,19.98%,17.60%,12.77%
