Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
69,30.11%,29.16%,23.60%,7.35%
70,26.18%,19.70%,16.77%,15.75%
71,36.45%,36.16%,14.16%,4.53%
72,40.54%,36.12%,13.28%,4.61%
72,41.36%,33.05%,13.96%,5.46%
73,46.26%,19.96%,15.07%,11.70%
74,28.58%,18.31%,17.45%,17.35%
74,30.87%,22.82%,20.18%,17.90%
75,35.40%,29.24%,10.83%,10.60%
76,41.87%,20.46%,18.04%,7.79%
77,38.05%,30.45%,28.61%,0.71%
78,53.75%,33.42%,7.28%,1.67%
79,29.42%,27.97%,16.27%,11.41%
79,35.54%,35.47%,18.62%,6.03%
80,28.37%,24.22%,21.72%,15.48%
81,31.92%,27.04%,17.63%,9.02%
82,51.03%,42.45%,1.97%,0.83%
83,29.79%,24.28%,23.44%,7.37%
84,41.56%,34.82%,13.22%,3.29%
85,43.06%,33.14%,10.85%,4.87%
86,31.87%,27.86%,25.49%,4.91%
87,35.54%,33.86%,18.92%,7.05%
88,38.44%,22.38%,17.31%,16.25%
89,28.87%,20.78%,18.05%,15.68%
90,40.65%,30.80%,14.71%,10.04%
91,39.41%,24.37%,13.87%,8.93%
92,28.32%,22.51%,19.31%,12.24%
93,40.26%,36.48%,20.37%,0.83%
94,42.87%,22.25%,21.70%,10.13%
95,34.89%,31.19%,20.70%,4.61%
96,39.06%,23.20%,22.27%,8.68%
97,32.10%,24.43%,18.25%,11.59%
98,34.71%,19.78%,15.15%,11.49%
99,34.11%,33.71%,23.13%,4.13%
100,27.50%,21.86%,20.92%,18.59%
101,31.09%,19.55%,14.83%,14.09%
102,27.26%,25.39%,16.91%,13.46%
103,30.48%,25.68%,21.47%,19.97%
104,30.73%,21.07%,19.31%,14.64%
105,49.05%,22.16%,13.03%,11.94%
106,32.96%,26.87%,19.01%,14.01%
107,28.38%,26.94%,17.88%,15.89%
108,38.39%,27.90%,21.53%,5.45%
188,22.48%,18.47%,18.46%,17.08%
109,43.20%,31.35%,18.29%,2.53%
110,40.64%,39.89%,11.87%,2.48%
111,36.31%,32.31%,19.76%,5.30%
112,29.10%,27.38%,26.27%,10.76%
113,46.86%,35.91%,14.46%,1.41%
114,38.76%,28.60%,22.21%,5.64%
115,27.73%,25.18%,24.29%,15.71%
116,25.05%,22.13%,20.43%,18.34%
117,23.61%,22.21%,22.04%,19.72%
118,24.48%,22.70%,15.93%,15.76%
119,30.27%,28.12%,19.92%,11.89%
120,29.89%,25.44%,23.38%,11.74%
121,46.87%,25.67%,13.23%,8.79%
121,35.36%,28.72%,14.92%,11.31%
122,35.20%,34.99%,12.04%,10.85%
123,25.91%,23.64%,22.19%,12.95%
124,39.61%,25.70%,21.63%,9.76%
124,33.63%,28.81%,26.91%,2.17%
125,27.38%,20.60%,16.53%,15.36%
126,33.15%,32.95%,22.72%,3.65%
126,44.19%,41.13%,6.02%,2.61%
127,29.03%,20.92%,14.48%,10.91%
128,31.87%,19.64%,14.34%,11.11%
129,26.48%,21.22%,16.04%,15.62%
130,24.24%,18.49%,17.43%,14.54%
131,34.93%,34.28%,17.12%,8.17%
132,31.12%,19.65%,14.97%,14.66%
133,35.96%,34.88%,14.18%,8.75%
134,20.86%,19.65%,17.43%,17.26%
135,47.90%,31.78%,11.03%,5.48%
136,25.62%,22.40%,21.11%,12.34%
137,26.18%,23.59%,21.73%,11.41%
139,35.40%,30.50%,27.57%,2.39%
140,28.92%,25.82%,24.43%,10.93%
141,33.61%,28.54%,21.84%,5.27%
143,35.79%,34.60%,22.35%,2.35%
145,43.61%,22.37%,19.67%,3.83%
146,44.05%,28.03%,15.64%,4.71%
147,30.67%,30.62%,29.34%,4.11%
148,32.02%,31.77%,20.74%,9.44%
149,29.85%,25.72%,22.64%,13.82%
150,36.08%,25.99%,24.18%,5.61%
151,32.33%,23.04%,21.97%,15.22%
152,34.26%,33.94%,18.27%,6.79%
153,40.89%,26.80%,14.49%,6.57%
154,35.13%,31.48%,21.58%,4.84%
155,30.40%,25.76%,23.72%,12.91%
156,48.72%,28.43%,17.62%,1.86%
157,42.55%,38.92%,11.63%,1.62%
158,40.20%,31.61%,21.84%,1.40%
159,25.72%,25.63%,21.08%,18.34%
159,31.24%,21.91%,19.22%,13.72%
161,41.48%,26.13%,25.96%,1.27%
162,32.03%,27.88%,24.31%,5.75%
163,32.23%,24.32%,22.57%,7.68%
164,30.12%,28.02%,25.57%,8.16%
165,24.71%,21.95%,20.79%,16.80%
166,42.00%,23.78%,21.88%,5.66%
167,35.18%,28.04%,22.78%,7.83%
168,47.37%,28.04%,12.65%,6.12%
169,37.70%,29.83%,16.93%,5.89%
170,32.62%,30.87%,16.77%,8.82%
171,46.04%,34.43%,6.89%,6.68%
172,33.31%,32.82%,13.83%,12.25%
174,38.94%,26.53%,14.07%,9.77%
175,40.52%,23.47%,22.80%,6.81%
176,45.73%,25.85%,13.39%,6.31%
177,42.35%,19.12%,18.95%,9.95%
177,29.70%,28.49%,24.31%,4.25%
178,24.74%,24.02%,19.28%,18.73%
179,29.84%,24.17%,18.13%,8.22%
179,41.89%,26.81%,19.75%,3.18%
180,74.18%,12.83%,5.33%,3.16%
181,28.29%,25.17%,18.50%,11.87%
182,25.75%,20.86%,19.41%,16.94%
183,27.95%,27.84%,26.65%,9.23%
184,33.04%,25.45%,19.15%,16.12%
185,22.71%,22.51%,22.40%,21.35%
186,42.23%,28.06%,16.43%,5.30%
187,43.41%,22.58%,21.65%,4.97%
190,26.39%,25.33%,15.40%,14.63%
189,23.32%,18.39%,18.26%,16.67%
191,26.76%,22.39%,15.46%,9.53%
192,23.12%,20.30%,19.85%,14.82%
193,36.37%,23.86%,17.79%,13.81%
194,42.93%,35.51%,8.32%,5.70%
195,29.28%,27.88%,22.83%,13.53%
196,32.47%,26.05%,19.48%,12.76%
197,29.43%,24.49%,20.06%,17.51%
198,28.86%,27.51%,26.65%,9.50%
199,61.41%,21.01%,10.79%,3.17%
200,30.31%,26.99%,18.53%,9.94%
202,27.30%,21.67%,21.63%,18.45%
203,31.39%,28.66%,20.80%,12.40%
204,28.88%,28.13%,24.10%,11.79%
205,42.42%,31.35%,17.07%,4.56%
206,32.03%,31.54%,29.63%,2.82%
207,31.25%,22.44%,19.83%,14.94%
207,20.93%,20.17%,17.89%,13.65%
208,37.66%,29.33%,17.89%,10.09%
209,36.93%,31.69%,17.63%,5.40%
210,33.76%,28.20%,20.07%,8.04%
211,39.54%,33.15%,11.84%,11.12%
212,56.09%,30.75%,6.10%,3.99%
213,37.91%,30.77%,21.70%,7.06%
214,54.09%,22.28%,15.04%,5.23%
215,37.98%,25.91%,15.01%,11.03%
215,36.14%,34.85%,24.40%,2.61%
216,45.88%,35.81%,12.51%,3.58%
217,34.79%,29.72%,19.33%,7.65%
219,44.92%,39.35%,3.86%,3.76%
219,29.33%,27.44%,22.07%,15.18%
220,32.45%,30.36%,21.92%,4.65%
221,31.49%,30.26%,22.39%,10.96%
222,24.06%,23.21%,19.37%,16.31%
223,44.41%,30.92%,9.38%,8.00%
224,24.47%,22.90%,20.11%,20.01%
225,38.09%,29.53%,21.06%,2.57%
226,28.26%,21.73%,20.26%,11.54%
227,31.65%,24.36%,19.49%,9.08%
228,36.64%,28.75%,17.66%,4.44%
229,33.22%,23.35%,19.28%,11.50%
230,26.57%,24.65%,16.51%,14.49%
231,23.33%,19.93%,19.81%,15.38%
232,31.24%,29.51%,20.12%,7.19%
233,33.68%,26.08%,25.22%,3.70%
234,30.72%,22.92%,19.81%,15.46%
234,30.30%,25.29%,20.57%,8.26%
236,40.62%,27.68%,19.49%,3.78%
237,47.67%,25.41%,15.18%,3.27%
238,23.31%,22.92%,22.82%,15.86%
239,24.48%,21.92%,21.58%,14.93%
240,29.49%,25.42%,25.25%,11.64%
240,37.16%,30.25%,20.53%,2.99%
241,30.20%,27.72%,22.70%,5.65%
242,23.36%,21.20%,19.46%,17.99%
244,61.48%,15.95%,8.58%,2.31%
245,72.28%,15.55%,5.00%,1.65%
246,82.13%,6.28%,3.33%,2.06%
247,22.02%,19.81%,18.14%,17.70%
248,26.09%,24.14%,22.62%,16.65%
249,42.48%,28.97%,10.86%,9.71%
250,40.31%,22.81%,17.48%,12.62%
251,27.72%,24.56%,15.56%,14.75%
252,37.28%,34.10%,7.53%,5.64%
253,30.00%,18.45%,15.48%,14.32%
254,27.26%,26.70%,19.03%,17.75%
255,30.31%,26.09%,16.11%,14.82%
256,35.40%,21.58%,17.31%,11.62%
256,22.93%,21.63%,19.45%,17.04%
257,45.92%,28.76%,15.46%,2.69%
258,25.23%,23.22%,21.26%,17.63%
259,30.65%,23.17%,18.42%,16.51%
260,38.86%,29.31%,20.42%,2.81%
261,36.09%,25.31%,18.39%,13.93%
263,39.82%,37.63%,8.92%,5.44%
264,22.47%,22.43%,22.10%,11.00%
266,36.66%,26.69%,16.55%,11.57%
266,25.12%,24.40%,22.65%,9.27%
267,27.69%,19.22%,12.95%,11.78%
268,31.69%,31.67%,29.08%,3.14%
270,33.29%,27.68%,26.41%,3.78%
271,40.22%,23.82%,15.06%,12.18%
272,52.65%,33.64%,6.48%,2.06%
273,40.06%,37.79%,10.72%,3.81%
274,32.39%,27.29%,16.67%,11.74%
275,38.72%,25.24%,24.11%,6.32%
277,38.44%,35.46%,10.01%,5.18%
278,45.02%,38.01%,8.02%,2.29%
279,35.56%,31.09%,26.51%,2.26%
280,34.15%,30.87%,28.34%,2.45%
281,34.86%,30.05%,24.45%,4.16%
282,36.84%,35.76%,6.65%,5.42%
282,22.72%,22.14%,18.51%,13.14%
283,38.65%,25.89%,14.14%,5.78%
284,30.23%,28.59%,21.49%,6.07%
285,36.96%,31.86%,21.25%,2.93%
286,39.19%,29.19%,20.57%,4.55%
287,41.59%,40.63%,10.74%,1.69%
287,34.75%,32.89%,23.79%,4.09%
288,33.27%,30.13%,19.44%,8.89%
290,38.91%,32.43%,16.95%,3.75%
290,38.52%,24.19%,18.37%,12.55%
291,34.83%,33.08%,16.48%,5.33%
292,35.40%,26.91%,17.80%,13.24%
293,32.11%,31.21%,23.05%,8.29%
294,27.29%,25.47%,21.60%,16.68%
295,44.39%,27.72%,20.95%,2.05%
296,40.36%,29.68%,22.91%,2.15%
297,38.23%,36.29%,14.37%,3.84%
298,36.37%,33.10%,12.01%,11.30%
299,39.62%,33.69%,14.16%,5.41%
300,42.03%,24.10%,17.32%,5.67%
301,33.91%,28.04%,22.85%,7.09%
302,26.60%,22.44%,19.51%,17.74%
302,35.30%,32.85%,19.22%,3.10%
303,25.39%,17.92%,17.59%,16.55%
304,34.36%,32.44%,15.05%,6.51%
305,35.36%,27.85%,18.19%,13.63%
306,32.32%,26.77%,20.49%,10.99%
306,36.40%,31.59%,23.09%,2.38%
307,25.18%,24.14%,17.95%,8.37%
308,26.90%,24.22%,21.93%,16.98%
309,43.38%,22.46%,11.55%,6.52%
310,31.10%,24.07%,18.25%,18.24%
311,30.87%,26.13%,25.40%,7.43%
312,31.10%,22.54%,18.74%,7.55%
313,31.66%,28.25%,23.56%,6.61%
314,31.46%,28.31%,21.99%,6.59%
315,23.79%,19.34%,17.96%,12.88%
316,42.40%,38.38%,5.40%,4.67%
316,35.69%,25.44%,17.80%,11.44%
317,38.87%,33.70%,19.05%,1.89%
318,29.68%,23.81%,20.75%,18.83%
319,29.05%,27.54%,20.71%,11.19%
320,46.16%,32.91%,9.64%,2.97%
321,40.42%,23.69%,13.03%,12.91%
322,39.29%,20.62%,14.68%,14.29%
323,29.79%,29.37%,21.66%,6.94%
324,39.05%,28.65%,22.61%,4.59%
325,27.42%,18.64%,16.81%,15.92%
326,26.70%,23.91%,14.68%,9.30%
327,46.90%,29.77%,12.39%,3.97%
328,46.18%,34.95%,8.76%,1.78%
329,29.87%,27.77%,22.46%,8.81%
329,36.92%,21.14%,16.97%,13.71%
330,32.65%,22.68%,22.50%,14.90%
331,25.12%,24.80%,22.78%,11.26%
332,29.22%,27.98%,21.36%,12.68%
333,49.82%,34.46%,5.54%,2.93%
334,33.08%,19.76%,18.61%,14.51%
336,32.45%,21.65%,14.40%,14.12%
337,25.19%,23.83%,18.42%,10.18%
338,33.61%,29.57%,18.81%,4.96%
339,32.49%,29.33%,21.94%,4.96%
340,28.23%,16.54%,13.65%,12.78%
342,24.77%,22.17%,21.40%,21.29%
343,36.79%,21.08%,19.46%,15.07%
344,32.03%,27.19%,19.95%,4.94%
345,34.83%,34.37%,12.06%,9.68%
346,33.59%,27.80%,24.30%,8.22%
347,43.55%,29.32%,15.52%,7.67%
348,30.43%,26.78%,15.26%,12.72%
349,33.71%,30.82%,23.40%,5.03%
350,33.95%,28.25%,25.22%,4.39%
