Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
146,36.70%,35.13%,17.39%,3.17%
147,37.08%,31.51%,20.95%,2.75%
148,41.63%,32.26%,10.70%,8.69%
149,35.81%,30.22%,18.92%,6.14%
150,33.50%,31.23%,9.23%,8.97%
151,50.36%,41.86%,2.34%,1.78%
152,48.59%,39.42%,5.44%,2.37%
153,47.77%,45.36%,1.74%,1.50%
154,39.27%,26.85%,25.76%,2.59%
155,34.34%,31.05%,15.99%,11.37%
156,55.58%,36.38%,3.56%,1.63%
157,49.32%,40.83%,3.56%,1.58%
158,50.38%,29.28%,13.76%,1.84%
159,36.23%,30.05%,21.01%,6.70%
159,34.90%,29.81%,20.58%,4.64%
161,46.07%,43.56%,6.37%,1.52%
162,28.81%,27.21%,18.94%,10.04%
163,35.21%,28.40%,24.89%,5.71%
164,44.68%,28.62%,17.45%,4.49%
165,35.03%,25.81%,23.87%,9.82%
166,36.69%,22.97%,18.84%,13.19%
167,33.97%,31.00%,26.03%,1.96%
168,31.90%,30.30%,28.88%,1.62%
169,26.38%,25.33%,21.84%,14.98%
170,36.99%,33.94%,12.02%,5.90%
171,38.42%,26.15%,21.69%,9.77%
172,28.09%,27.15%,20.93%,20.50%
174,34.80%,30.39%,15.92%,15.66%
175,30.77%,25.33%,19.49%,19.48%
176,29.48%,23.43%,20.62%,9.91%
177,33.19%,23.61%,15.10%,10.54%
177,33.90%,26.29%,23.27%,5.49%
178,31.66%,31.34%,22.23%,4.84%
179,49.13%,20.49%,17.08%,3.56%
179,32.22%,29.16%,20.78%,9.18%
180,51.90%,20.25%,11.00%,7.82%
181,37.14%,26.34%,21.91%,7.89%
182,43.53%,24.70%,24.21%,2.12%
183,36.38%,27.60%,27.33%,2.79%
184,37.60%,23.23%,16.18%,11.75%
185,29.73%,24.55%,23.45%,14.90%
186,40.59%,30.11%,17.55%,5.35%
187,43.92%,40.30%,7.16%,2.26%
190,32.45%,19.83%,17.05%,14.27%
189,32.08%,17.25%,16.50%,12.12%
191,29.09%,27.95%,25.65%,5.45%
192,29.09%,21.49%,18.55%,17.55%
193,39.61%,36.91%,12.56%,5.25%
194,39.77%,30.65%,19.77%,4.40%
195,37.04%,24.75%,20.36%,8.59%
196,32.99%,29.51%,24.93%,5.06%
197,35.58%,33.23%,15.82%,10.31%
198,36.21%,30.09%,27.80%,1.76%
199,57.81%,33.48%,3.70%,1.90%
200,38.61%,27.73%,20.12%,5.27%
202,34.26%,34.05%,24.13%,2.36%
203,41.77%,33.38%,17.34%,3.85%
204,38.73%,34.19%,19.26%,3.08%
205,34.30%,31.50%,28.12%,2.35%
206,35.66%,33.23%,10.81%,5.23%
207,29.00%,26.52%,23.63%,11.98%
207,38.92%,21.86%,21.67%,6.37%
208,32.47%,29.74%,23.41%,7.99%
209,41.70%,38.57%,7.37%,4.97%
210,47.32%,45.54%,2.32%,1.54%
211,29.47%,29.00%,17.60%,16.56%
212,45.61%,28.91%,12.92%,9.61%
213,33.79%,32.00%,18.34%,13.44%
214,52.47%,19.00%,13.90%,11.23%
215,43.43%,37.77%,4.23%,3.08%
215,40.01%,36.64%,15.42%,5.72%
216,46.73%,20.56%,15.72%,13.19%
217,38.47%,38.24%,9.96%,4.95%
219,34.04%,28.21%,17.56%,8.55%
219,36.36%,34.01%,19.69%,4.35%
220,36.33%,34.66%,20.59%,2.59%
221,26.49%,24.39%,23.88%,18.45%
222,44.66%,24.17%,14.89%,7.19%
223,51.72%,25.07%,13.81%,5.43%
224,31.67%,24.32%,22.54%,21.47%
225,41.32%,32.32%,19.80%,2.38%
226,42.48%,31.70%,8.18%,5.88%
227,36.31%,23.93%,15.33%,6.88%
228,36.04%,30.18%,20.77%,5.70%
229,35.45%,27.81%,23.25%,4.07%
230,22.17%,19.08%,16.95%,14.28%
231,33.56%,27.63%,20.19%,9.85%
232,29.32%,29.12%,23.34%,11.69%
233,29.62%,29.46%,19.66%,5.34%
234,34.28%,22.74%,22.20%,5.46%
234,28.23%,24.27%,17.81%,14.99%
236,43.11%,41.95%,5.45%,2.40%
237,46.87%,40.25%,4.86%,4.63%
238,29.44%,25.19%,15.25%,13.95%
239,36.01%,26.89%,17.49%,10.24%
240,30.70%,30.20%,23.69%,6.62%
240,33.94%,23.58%,17.41%,14.42%
241,32.41%,23.95%,17.80%,11.53%
242,28.85%,23.80%,19.79%,19.61%
244,48.01%,21.06%,16.47%,3.58%
245,47.22%,36.93%,5.45%,3.45%
246,64.96%,18.15%,8.14%,5.22%
247,42.74%,25.31%,13.35%,5.72%
248,30.74%,22.94%,21.49%,16.34%
249,29.74%,29.42%,28.64%,3.27%
250,34.00%,30.45%,18.04%,3.87%
251,45.85%,25.27%,12.59%,7.74%
252,47.52%,25.06%,15.43%,3.80%
253,37.84%,22.44%,20.53%,7.73%
254,29.41%,25.15%,19.02%,6.44%
255,34.49%,32.43%,19.85%,10.19%
256,45.47%,32.52%,9.76%,6.21%
256,30.54%,25.56%,17.06%,16.28%
257,41.49%,40.59%,5.81%,2.66%
258,34.61%,26.91%,20.54%,3.19%
259,39.84%,28.07%,14.65%,6.58%
260,43.48%,43.24%,5.10%,2.81%
261,47.08%,38.44%,9.31%,1.77%
263,37.29%,21.48%,19.74%,16.07%
264,33.31%,30.58%,19.13%,6.46%
266,26.77%,23.22%,22.40%,15.63%
266,36.60%,31.96%,13.36%,3.64%
267,24.89%,22.80%,16.73%,14.06%
268,34.83%,27.25%,20.69%,3.72%
270,43.74%,33.10%,13.83%,1.80%
271,36.08%,33.16%,9.67%,4.14%
272,31.07%,27.57%,25.33%,3.99%
273,40.92%,34.58%,9.99%,3.62%
274,32.96%,26.53%,24.88%,5.35%
275,37.00%,33.37%,18.93%,3.04%
277,32.52%,32.35%,16.48%,3.27%
278,39.96%,38.46%,9.56%,2.95%
279,39.64%,34.10%,14.28%,4.60%
280,41.12%,38.43%,6.66%,3.64%
281,34.62%,27.28%,21.17%,4.62%
282,36.39%,22.80%,12.21%,5.59%
282,34.34%,25.89%,16.59%,15.39%
283,32.16%,30.54%,25.25%,3.21%
284,29.05%,28.96%,27.42%,3.23%
285,36.56%,36.24%,12.58%,5.13%
286,34.06%,32.25%,14.33%,10.51%
287,31.85%,31.49%,22.27%,4.27%
287,42.92%,37.11%,13.31%,2.42%
288,34.19%,18.36%,17.59%,12.05%
290,37.18%,30.35%,21.77%,2.78%
290,48.22%,40.94%,4.32%,2.51%
291,32.96%,27.50%,23.27%,8.52%
292,35.36%,30.29%,21.14%,4.47%
293,33.23%,28.92%,17.52%,10.31%
294,24.43%,22.57%,21.52%,14.32%
295,38.82%,31.39%,13.76%,3.42%
296,34.02%,31.75%,25.31%,1.86%
297,37.53%,33.93%,13.76%,5.68%
298,45.22%,26.61%,13.22%,4.84%
